Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
High income,HIC,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,68.4973559,68.88206673,68.86152345,69.07611196,69.481862,69.59523484,69.86444397,70.09494134,70.03938741,70.24448336,70.57602915,70.85804251,71.15287088,71.32399445,71.73737005,72.0841376,72.34272883,72.696455,72.85291931,73.17978065,73.20588463,73.56360736,73.8931635,73.99596038,74.27979033,74.40004486,74.64664781,74.91890355,75.03301516,75.28063391,75.44226996,75.61623376,75.8726529,75.95416643,76.24005713,76.3029909,76.67753671,77.01234295,77.19524556,77.33748528,77.61797672,77.91444002,78.05026116,78.17711073,78.59176741,78.68547552,78.98739972,79.22238865,79.36634864,79.64253115,79.81886244,80.05944099,80.17537961,80.35581732,80.61587583,80.49541971,80.52671329
Low income,LIC,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,39.09438992,39.50580426,39.91334851,40.32558905,40.74929073,41.18776766,41.64005257,42.09926855,42.55944691,43.01627426,43.46767415,43.91355559,44.35404232,44.78637234,45.20819147,45.61429876,46.00021229,46.36582068,46.71421316,47.04960914,47.37855807,47.70720388,48.0375448,48.36788769,48.69259376,48.99822045,49.26761767,49.48853761,49.65644668,49.78146958,49.88239131,49.98402455,50.10667927,50.25720605,50.42903452,50.62451415,50.85621204,51.13746264,51.47780714,51.88370882,52.35916633,52.9064518,53.51869653,54.18497273,54.89354115,55.63202326,56.38893371,57.15061026,57.90228092,58.63003362,59.3207682,59.96588078,60.56668256,61.12468445,61.63847585,62.10844946,62.53737349
Middle income,MIC,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,47.89540825,48.43047674,49.04756684,49.77575,50.62525055,51.5608153,52.53254602,53.49044226,54.39253204,55.20719016,55.95260981,56.61636251,57.21377465,57.79692244,58.36189657,58.8773806,59.38867132,59.87137724,60.32446645,60.72826323,61.11431875,61.48050156,61.8342895,62.1470406,62.43481327,62.75813853,63.11209865,63.40197248,63.67644819,63.93496883,64.18367735,64.42196222,64.6064554,64.77927164,65.01157615,65.27581337,65.58641847,65.91604433,66.22296968,66.49781976,66.79611172,67.10725,67.4054965,67.71078978,68.03013266,68.3297677,68.66506374,68.98691206,69.28775748,69.60612879,69.89162032,70.185237,70.44732847,70.70047982,70.92546595,71.14206893,71.34934089
World,WLD,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,52.57165828,53.07747283,53.50159772,54.03553021,54.71522208,55.38452678,56.12542524,56.83960203,57.44605654,58.06030925,58.65334822,59.17993671,59.66533744,60.11223648,60.60470033,61.04644453,61.46262556,61.87987759,62.23346054,62.58794201,62.86658706,63.19966941,63.51723266,63.75752614,64.01585572,64.2667536,64.56414906,64.81565134,65.0220931,65.24091791,65.4351536,65.62381916,65.78861943,65.91518222,66.12522802,66.32317923,66.61279199,66.91152404,67.17247803,67.40572206,67.6849978,67.98361541,68.24991656,68.52430136,68.86333703,69.13621203,69.47497467,69.79430795,70.08346314,70.40560747,70.68293724,70.97183203,71.21533164,71.46006606,71.69402948,71.85693478,72.03526434
